,title
0,"삼성전자 노사 상견례…""새로운 노사관계"", ""역사적 현장 돼야"""
1,"""新 노사관계 만들자"" 머리 맞댄 삼성전자 노사, 첫 단체교섭 돌입"
2,'미스터 LCD' 이상완 전 삼성전자 사장 별세
3,"100대 기업 여성 임원, 1년새 17% 늘었다… 삼성전자 55명 '최다'"
4,"삼성 모니터 오디세이 G7, 美 극찬 ""완벽한 게이밍"""
5,"삼성, 갤럭시S21 출시공식 깨고 서두르는 이유는"
6,‘무노조 경영’ 이어온 삼성전자 노사 첫 공동교섭
7,"삼성전자 ""풍요로운 삶 위한 인간 중심 AI가 목표"""
8,"승현준 삼성리서치 소장 ""인간중심 AI, 삼성 비전과 일맥상통"""
9,"삼성전자 오디세이 G7, 탐스하드웨어 평점 만점 획득"
10,"삼성, 갤럭시S21 출시공식 깨고 서두르는 이유는"
11,인사말 하는 나기홍 삼성전자 부사장
12,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최...유튜브 생중계"
13,"삼성전자 오디세이 G7, 탐스하드웨어 평점 만점 획득"
14,삼성전자 단체교섭 상견례
15,"삼성, 창립 51주년…""이건희 회장 도전·혁신 DNA 계승하자"""
16,"삼성전자, 'AI 포럼 2020' 개최"
17,삼성전자측과 인사 나누는 김만재 위원장
18,"삼성전자 창립 51주년, '이건희 정신 이어받자'..다짐"
19,"창립 51주년 삼성전자 ""이건희 도전·열정 이어 '100년 기업' 기반 구축"""
20,‘바이오 요람’ 샌프란시스코에 둥지 튼 삼성바이오로직스
21,노동조합공동교섭단 마주한 삼성전자
22,창립 51돌 삼성전자 “도전과 혁신의 DNA 계승”
23,"삼성, 중국서 첫 '5나노 엑시노스' 전격 공개… 화웨이 추격하는 오포·비보·..."
24,삼성전자 단체교섭 상견레 및 1차 본교섭
25,故 이건희 회장 별세에 요동치는 삼성그룹주…삼성전자·물산·SDS 주가 더 오...
26,삼성전자 51주년 기념식 “이건희 회장님 타계는 큰 충격과 슬픔”
27,<10문10답>삼성 상속세 11조원… ‘가혹한 세금’ 논란
28,[눈] 삼성을 떠나며
29,삼성전자 단체교섭 상견례
30,이건희 회장 주식 상속되면 주식 부호 1~4위 모두 삼성家
31,박수치는 삼성전자 교섭위원
32,"홍남기, 삼성 상속세 질문에 “검토 여지 있는지 보겠다”"
33,"삼성전자 51주년 기념식…""이건희 정신 계승하겠다"""
34,‘삼성 불법파견 봐주기’ 정현옥 전 노동부 차관 2심도 무죄
35,"'인간 중심의 AI'…삼성전자, 삼성AI포럼 2020 진행"
36,"승현준 삼성리서치 소장, “기업 연구 제약…오히려 창의력과 혁신의 원동력”"
37,"삼성 게이밍 모니터 '오디세이 G7', 美 온라인 IT 매체 평점 '만점' 받아"
38,두 번째 치러진 '온라인 삼성 고시'…상반기보다 원활
39,"""완벽한 게이밍 모니터"" 삼성 오디세이 G7, 美 IT 매체서 호평"
40,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
41,박수치는 삼성노사공동교섭단
42,"""이건희 도전정신 계승"" ""100년 기업 기반 구축"" [삼성전자 창립 51주년 기념..."
43,삶에 도움주는 AI 기술은?…'삼성 AI 포럼 2020' 개최
44,"삼성 오디세이 G7, 게이밍 모니터로 호평 받아"
45,인사말 하는 나기홍 삼성전자 부사장
46,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
47,'저력 보여준' 삼성·LG…4분기에도 웃을까
48,인사말 하는 나기홍 삼성전자 부사장
49,삼성전자 단체교섭 상견례 및 1차 본교섭
50,마주 앉은 삼성전자 노사
51,"승현준 삼성리서치 소장 ""인간 중심 AI, 삼성전자 비전과 일맥상통"""
52,삼성전자 노사 오늘 상견례…첫 단체교섭 시작
53,"“인간중심 AI, ‘삶의 편리’ 삼성 비전과 일맥상통”"
54,"삼성전자, 제 4회 '삼성 AI 포럼 2020' 개최…삶에 도움 주는 AI 기술"
55,"박병석 ""이병철 한국의 삼성, 이건희 세계의 삼성 키워"""
56,“이건희 도전·열정 이어받자”…이재용 ‘뉴삼성’ 속도
57,"세바스찬 승 ""삼성전자, 인간 중심 AI 추구"""
58,'삼성 불법파견 은폐' 정현옥 전 차관 2심도 무죄
59,"삼성전자, '인간 중심의 AI 연구' 강조-'삼성AI포럼 2020' 2일차 온라인 진행"
60,"삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강조"
61,삼성전자 노사 상견례
62,"삼성 첫 AI 연구자상, 35세 조경현 뉴욕대 종신교수 등 5명이 받았다"
63,"美 유명 IT매체, ""삼성 오디세이 G7, 완벽한 게이밍 모니터"" 호평"
64,삼성전자 몰려든 개미들…이번에도 통할까
65,인사하는 나기홍 삼성전자 경영지원실 인사팀장
66,박수치는 삼성전자 측
67,"삼성 오디세이 G7, 美 유명 IT 매체 완벽한 게이밍 모니터 호평"
68,"삼성, 창립 51주년 기념식 날 소·부·장 기업에 740억 투자"
69,"삼성전자, 반도체 '소부장' 협력사 4곳에 740억여원 투자"
70,"""100년 삼성, 미래 향해 함께 걸어가자"""
71,"삼성전자, 국내 100대 기업 중 여성 임원 수 최다"
72,삼성 51주년 창립기념식…이재용 불참 속 故이건희 회장 추모
73,'온라인 삼성 고시' 두번째…상반기보다 '원활'
74,삼성전자 노사 1차 단체교섭
75,삼성전자 단체교섭 상견례
76,'삼성전자 단체교섭 상견례 하러갑니다'
77,인사말 하는 나기홍 삼성전자 경영지원실 인사팀장
78,인사말 하는 나기홍 삼성전자 경영지원실 인사팀장
79,삼성 덕에…내년 상속세수 55% 는다
80,`삼성 AI 포럼 2020` 개최…요수아 벤지오 등 석학 총출동
81,삼성전자 노사 첫 상견례…상생·협력 모델 만들까
82,"창립 51돌 맞은 삼성전자…“100년 기업 기반 구축하자"""
83,"삼성 오디세이 G7, 미국서 완벽한 게이밍 모니터로 호평"
84,"삼성 오디세이 G7, 美 유명 IT 매체 '탐스 하드웨어'서 호평"
85,"""인간 중심""…삼성 AI 리더 승현준의 한마디"
86,"삼성전자, 창립 51주념 기념식…""회장님의 도전과 혁신 DNA 계승하자"""
87,"삼성전자, 창립 51주년 기념식 개최"
88,"[SR통신IT] 삼성전자, '더 나은 세상을 만들기 위한 인간 중심의 AI 연구' 강..."
89,[부음] 이상완(전 삼성전자 사장)씨 별세 외 (11월 3일)
90,단체교섭 인사말하는 나기홍 삼성전자 부사장
91,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
92,‘삼성 AI포럼 2020’ 개막…AI 전문가 총집결
93,100대 기업 여성임원 286명…삼성전자 여성 임원 55명으로 최다
94,삼성전자 임원들과 악수하는 김만재 위원장
95,"삼성전자, 제4회 ‘삼성 AI 포럼 2020’ 개최"
96,"'삼성 AI 포럼 2020' 2일차...세바스찬 승, '인간 중심 AI 연구'가 미래"
97,[사진]인사하는 삼성전자 노사
98,삼성전자 단체교섭 상견례
99,삼성전자 단체교섭 상견례
