,title
0,"정부 ""셀트리온·녹십자, 코로나 치료제 임상대상자 6%·16% 모집... 연내 가..."
1,[특징주]셀트리온 2021년도 고성장 유지 전망....4%대 강세
2,"휴마시스, 셀트리온 공동개발 '코로나19 항원진단키트' 스위스 기업에 공급"
3,"셀트리온·GC녹십자, 코로나19 치료제 연내 개발"
4,항체치료제 임상 잇단 중단에도…셀트리온은 '진행형'
5,"셀트리온, 코로나19 진단키트 첫 수출…2100억원 규모"
6,"셀트리온, 코로나 항원키트 2100억 규모 美공급 계약"
7,셀트리온 코로나 신속진단키트 美 수출
8,태영·셀트리온 지주회사 설립으로 대기업집단 회사 24곳 늘어
9,"셀트리온 코로나 신속 진단키트, 美에 2100억원 규모 공급 계약"
10,"셀트리온3사 주가 다 올라, SK바이오팜 삼성바이오로직스 소폭 상승"
11,"셀트리온 · 셀트리온헬스케어 · 셀트리온제약, '장중 주가 급등'...왜?"
12,"[주식 초고수는 지금] 신성이엔지 매수 1위...셀트리온, 현대차 등 관심 집중"
13,"영 연구진 ""인플릭시맙 코로나 환자 염증 개선""…셀트리온 램시마 기대감 솔솔"
14,"휴마시스, 셀트리온 공동개발 '코로나19 항원진단키트' 스위스 기업에 공급"
15,"셀트리온 목표주가 높아져, “새 제품 해마다 내놓아 성장세 이어가"""
16,대기업 계열사 석 달 새 24개 증가…태영·셀트리온 등 지주사 확대 영향
17,"코로나19 혈장, 항체치료제 생산에 기대감…GC녹십자, 셀트리온 등 임상시험 ..."
18,"[특징주] 셀트리온, 2100억 상당 코로나19 진단키트 美공급에 '강세'"
19,"셀트리온, 우수한 소통지수 획득하며 2개월 연속 '왕좌' 지켜... 2020년 10월..."
20,3분기 대기업 지배구조 개편 '총정리'…태영·셀트리온 지주사 설립
21,"셀트리온, 美서 휴미라 바이오시밀러 CT-P17 안전·효능 재입증"
22,"삼성바이오로직스 셀트리온3사 주가 모두 올라, SK바이오팜은 내려"
23,벽에 가로막힌 美 코로나 임상… 셀트리온·녹십자는 ‘순항 중’
24,"코로나에 고용 늘린 제약바이오업계…셀트리온, 증가 톱"
25,"셀트리온헬스케어, 낮은 커뮤니티지수 보이며 선두권 진입 실패... 2020년 10..."
26,"셀트리온 램시마SC, 램시마와 효능 같아"
27,"[제약워치] 셀트리온, 코로나19 신속진단 항원키트 '샘피뉴트' 美 공급계약 체..."
28,"""바이오시대 개막?"" 올해 셀트리온 매출, 제약 1위 유한양행 넘길 듯"
29,"셀트리온, 코로나 항원진단키트 美 승인 획득"
30,"[대한민국 상장주식 부자들] (10월 30일 기준) ② 서정진 회장, 셀트리온 지분..."
31,"[포털 검색 상위 종목] 삼성전자, 셀트리온, 시스웍, 한화솔루션, 씨젠 등 관..."
32,"美FDA, 셀트리온 코로나19 신속 진단 항원키트 긴급사용승인"
33,"[10년 전 오늘] 5000만원으로 시작한 셀트리온, 시총 32조 돌파"
34,"셀트리온, 아태 류마티스학회서 '램시마SC' 임상 3상 결과 발표"
35,"미 FDA, 셀트리온 코로나19 진단키트 긴급사용 승인"
36,뉴딜 바이오株 모두 상승...씨젠 셀트리온 한미약품 유한양행 급등
37,"SK바이오사이언스·셀트리온, 코로나19 백신·치료제 개발 '순풍'"
38,"코스닥 시총 상위 10종목 초반 강세, 셀트리온 계열3사 모두 올라"
39,"셀트리온, R&D 기업 맞아? 藥 영업수수료 왜 42%나?"
40,릴리 코로나 중증 임상 중단…셀트리온 '조기치료' 부상
41,"[이데일리N] 셀트리온, 2천100억원 규모 코로나19 신속진단키트 미국 공급 外"
42,"셀트리온, 램시마SC와 램시마IV 동등한 효능과 안전을 임상으로 확인"
43,"셀트리온 주가 상승 전망, ""램시마SC와 트룩시마 시장점유율 확대"""
44,"셀트리온, 국제 류머티즘학회서 램시마SC 임상3상 결과 발표"
45,"셀트리온, 코로나 항원키트 '샘피뉴트' 美 FDA 긴급사용승인 획득"
46,"셀트리온, 아·태 류마티스학회서 램시마SC 임상 3상 결과 발표"
47,[주식 초고수는 지금]셀트리온·한화솔루션 매수 집중
48,"셀트리온, 亞太류마티스학회서 '램시마SC' 3상 결과 발표"
49,"[특징주]셀트리온, 코로나19 진단키트 美 FDA 긴급사용승인에 강세"
50,"셀트리온, 아시아태평양 류마티스학회서 램시마SC 임상 3상 결과 발표"
51,"셀트리온, 코로나진단키트 승인ㆍ램시마SC 효과 입증…하반기 실적↑"
52,셀트리온 '램시마SC' 류마티스 관절염에 효과적
53,"셀트리온, 아시아태평양 류마티스학회서 램시마SC 임상 3상 결과 발표"
54,"셀트리온 코로나19 진단키트, 미국 식품의약국의 긴급사용 승인받아"
55,"공정위 ""셀트리온·태영, 지주사 설립…KT, 케이뱅크 계열 편입"""
56,"셀트리온, 코로나19 신속진단 항원키트 미 FDA 긴급사용승인 획득"
57,"셀트리온, 아태지역 류마티스학회서 램시마SC 임상 3상 결과 발표"
58,"SK證 ""셀트리온, 컨센서스에 부합하는 3분기 실적 전망"""
