,title,keyword
0,"""전세계 소비자가 뽑았다""…삼성전자, '최고 브랜드' 4위",삼성전자
1,"삼성전자, '갤럭시 Z 폴드2 5G' 레더 플립 커버 출시",삼성전자
2,"삼성, 미래기술 육성에 7년간 8천억 지원...7천억 더 쏜다",삼성전자
3,"삼성전자, '갤럭시 Z 폴드2' 레더 커버 출시…9만9000원",삼성전자
4,"삼성·SK하이닉스 '화웨이 특수'에 D램 수출 늘었다는데 매출은 감소, 이유는",삼성전자
5,"삼성전자, 미래기술 연구성과 공유하는 '애뉴얼 포럼' 개최",삼성전자
6,`7만 전자` 달리는 삼성전자…막판 매수 기회 노리는 `개미군단`,삼성전자
7,Z자로 두번 접는 폴더블 특허 출원한 삼성…두께 줄였다,삼성전자
8,"삼성전자, 미니 LED TV 초읽기…'퀀텀 미니 LED'로 가나",삼성전자
9,"""삼성 주소창은 시야를 넓혀 준 '광각렌즈에요'""",삼성전자
10,Z자로 두번 접는 폴더블 특허 출원한 삼성…두께 줄였다,삼성전자
11,"삼성전자, 미니 LED TV 초읽기…'퀀텀 미니 LED'로 가나",삼성전자
12,올해 파운드리 시장 24% 큰다…삼성·TSMC '5나노 경쟁',삼성전자
13,"미래 세대를 향한 믿음, 삼성전자의 '청소년 교육'",삼성전자
14,"삼성전자, 갤럭시Z 폴드2 5G·버즈 라이브 전용 커버 출시",삼성전자
15,"삼성전자, 반도체 선두 유지…3년간 인력 20% 증원",삼성전자
16,"""삼성 주소창은 시야를 넓혀 준 '광각렌즈에요'""",삼성전자
17,"기관, 다 팔아도 삼성그룹株엔 '베팅'",삼성전자
18,"""갤S20 FE 7만원""…삼성폰, 美시장서 '파격할인' 나섰다",삼성전자
19,[단독] 삼성전자가 2위인 이유…대만 TSMC에 도로·하수도망 깔아주는 美애리...,삼성전자
20,코로나 재확산에 기업들 다시 영향권…삼성·LG전자 확진자 나와(종합),삼성전자
21,삼성전자 급등에…이건희 전 회장 주식가치 20조원 넘어서,삼성전자
22,[비즈톡톡] 돌아온 인사 시즌… 삼성·현대차·SK·LG가 택한 키워드는,삼성전자
23,"삼성전자, 8K 영화 '언택트' 글로벌 버전 공개",삼성전자
24,[넘버스]'IT' 넘어 '물류' 기업으로 변신중인 삼성SDS,삼성전자
25,이병철 삼성 창업주 33주기..이재용 “창업이념 계승 발전시키자”,삼성전자
26,올해 대기업 매출 감소에도 투자 늘었다지만… 삼성전자 빼면 4.5% 줄었다,삼성전자
27,"삼성 '2020 애뉴얼 포럼' 개최...소재, ICT 연구 성과 공유",삼성전자
28,"삼성전자 노사 상견례 후 첫 교섭…노조, 단체협약 요구안 제시",삼성전자
29,삼성 이병철 선대회장 33주기 추도식,삼성전자
30,삼성 이병철 선대회장 33주기 추도식,삼성전자
31,호암 이병철 33주기 추도식…이재용 부회장·삼성 사장단 참석,삼성전자
32,"삼성, 내년 갤럭시폴드3에 'UDC' 첫 적용",삼성전자
33,동료에 흉기 휘두른 삼성전자 협력업체 직원 경찰 체포,삼성전자
34,[속보] 삼성전자 수원 모바일연구소 확진자 발생…건물 폐쇄,삼성전자
35,외국인이 삼성그룹주 사들이는 까닭은?,삼성전자
36,코로나 영향 파운드리 급성장… TSMC-삼성 경쟁 격화,삼성전자
37,내년 삼성전자 설비투자 예측한다면…'파운드리 장비주' 주목,삼성전자
