,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,8383.0,9836.0,17587.0,17151.0,17012.0,24169.0,31718.0,36602.0,엔씨소프트
1,영업이익,2375.0,3288.0,5850.0,6149.0,4790.0,8550.0,13159.0,15633.0,엔씨소프트
2,영업이익(발표기준),2375.0,3288.0,5850.0,6149.0,4790.0,0.0,0.0,0.0,엔씨소프트
3,당기순이익,1664.0,2714.0,4440.0,4215.0,3592.0,6552.0,9852.0,11998.0,엔씨소프트
4,지배주주순이익,1654.0,2723.0,4410.0,4182.0,3582.0,6554.0,9868.0,12018.0,엔씨소프트
5,비지배주주순이익,10.0,-9.0,31.0,33.0,10.0,0.0,0.0,0.0,엔씨소프트
6,자산총계,22192.0,23608.0,35266.0,29413.0,33464.0,39477.0,48773.0,59133.0,엔씨소프트
7,부채총계,4303.0,4653.0,7973.0,5623.0,8342.0,8943.0,9920.0,10300.0,엔씨소프트
8,자본총계,17889.0,18955.0,27292.0,23790.0,25122.0,30534.0,38853.0,48832.0,엔씨소프트
9,지배주주지분,17695.0,18856.0,27212.0,23677.0,24992.0,30374.0,38759.0,48791.0,엔씨소프트
10,비지배주주지분,194.0,99.0,80.0,113.0,130.0,160.0,93.0,41.0,엔씨소프트
11,자본금,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,엔씨소프트
12,부채비율,24.05,24.55,29.21,23.64,33.21,29.29,25.53,21.09,엔씨소프트
13,유보율,16151.32,18519.16,26128.88,25409.65,26589.73,0.0,0.0,0.0,엔씨소프트
14,영업이익률,28.33,33.43,33.26,35.85,28.16,35.37,41.49,42.71,엔씨소프트
15,지배주주순이익률,19.73,27.68,25.07,24.38,21.05,27.12,31.11,32.83,엔씨소프트
16,ROA,8.49,11.85,15.08,13.03,11.42,17.97,22.33,22.24,엔씨소프트
17,ROE,10.57,14.9,19.14,16.44,14.72,23.68,28.55,27.45,엔씨소프트
18,EPS,7542.0,12416.0,20104.0,19061.0,16320.0,29855.0,44948.0,54742.0,엔씨소프트
19,BPS,81257.0,93096.0,131144.0,127548.0,133449.0,157967.0,196160.0,241855.0,엔씨소프트
20,DPS,2747.0,3820.0,7280.0,6050.0,5220.0,6654.0,8004.0,9393.0,엔씨소프트
21,PER,28.24,19.93,22.26,24.47,33.15,26.8,17.8,14.61,엔씨소프트
22,PBR,2.62,2.66,3.41,3.66,4.05,5.06,4.08,3.31,엔씨소프트
23,발행주식수,21929.0,21929.0,21939.0,21939.0,21954.0,0.0,0.0,0.0,엔씨소프트
24,배당수익률,1.29,1.54,1.63,1.3,0.96,0.0,0.0,0.0,엔씨소프트
