,title,keyword
0,"넷마블, A3: 스틸얼라이브 글로벌 출시",넷마블
1,"넷마블, 美 카밤 '마블 렐름 오브 챔피언스' 12월 17일 출시",넷마블
2,"넷마블 클럽엠스타, 새 펫·시즌 패션 아이템 선보여",넷마블
3,넷마블·NC·위메이드 줄줄이 대작 게임 출시...연말 달군다,넷마블
4,"넷마블, 카밤 ‘마블 렐름 오브 챔피언스’ 12월 출시",넷마블
5,"넷마블, ""세븐나이츠2, 스토리와 연출이 강점""",넷마블
6,최고가 찍고 38% 내려온 넷마블…살까 말까,넷마블
7,"넷마블 카밤, '마블 렐름 오브 챔피언스' 12월 17일 글로벌 출시",넷마블
8,"넷마블 세븐나이츠2, 다시 한번 전작의 명성을 이을 수 있을까?",넷마블
9,"넷마블, <클럽 엠스타> 신규 펫 '붕어빵 춘식이' 업데이트 실시",넷마블
10,넷마블 '세븐나이츠' 이을 야심작 3개 출격,넷마블
11,"넷마블 댄스게임 '클럽 엠스타', 신규 펫 '붕어빵 춘식이' 업데이트",넷마블
12,넷마블 지분투자 빛 봤다,넷마블
13,넷마블 하반기 기대작 '세븐나이츠2' 18일 출시,넷마블
14,"넷마블,'클럽 엠스타’ 신규 펫 ‘붕어빵 춘식이’ 업데이트 실시",넷마블
15,겨울 게임대전 첫 타자…넷마블 ‘세븐나이츠2’,넷마블
16,"넷마블 카밤, 모바일 액션 RPG '마블 렐름 오브 챔피언스' 12월 17일 글로벌 ...",넷마블
17,"넷마블 북미 자회사 카밤, 마블 렐름 오브 챔피언스 12월 17일 출시",넷마블
18,"넷마블 북미 자회사 카밤, '마블 렐름 오브 챔피언스' 12월 17일 전세계 출시",넷마블
19,"넷마블 북미 자회사 카밤, '마블 렐름 오브 챔피언스' 글로벌 출시",넷마블
20,"넷마블, 하반기 신작 '세븐나이츠2' 11월 18일 출시",넷마블
21,"넷마블, ‘세븐나이츠’ 후속작 출시 본격",넷마블
22,"넷마블 하반기 기대작 세븐나이츠2, 마케팅 키워드는 스토리",넷마블
23,"김동현 넷마블 AI센터장 ""음성AI, 한국어 넘어 영어 서비스로 확대""",넷마블
24,"넷마블, 신작 '세븐나이츠' 투톱으로 주가부양‧영업익‧IP 세마리 토끼잡나",넷마블
25,"넷마블, '세븐나이츠2' 11월 18일 출시",넷마블
26,"넷마블 세븐나이츠2, 11월 18일 정식 출시",넷마블
27,6년을 기다렸다…‘세븐나이츠 2’ 출격준비 끝,넷마블
28,"넷마블, 내달 학회서 딥러닝 음성인식 기술 발표",넷마블
29,"넷마블, 세븐나이츠 첫 콘솔게임 정식 출시",넷마블
30,"넷마블, 첫 콘솔게임 `세븐나이츠` 출격",넷마블
31,"넷마블, '세븐나이츠 2' 출시...""모두가 기다려 왔다~""",넷마블
32,"넷마블, ‘리니지2레볼루션’ PvP전장 ‘명예의 전장’ 등 업데이트",넷마블
33,"넷마블, 하반기 최고 기대작 '세븐나이츠2' 18일 출시",넷마블
34,진짜 세븐나이츠 아버지가 말하는 ‘세븐나이츠2’는?,넷마블
35,"넷마블, 첫 콘솔작 ‘세븐나이츠 타임원더러’ 출시",넷마블
36,"넷마블, 하반기 최고 기대작 '세븐나이츠2' 18일 정식 출시",넷마블
37,"넷마블, AI 컨퍼런스 ‘NeurIPS 2020'서 모바일 음성 인식 기술 공개",넷마블
38,"넷마블, ‘세븐나이츠:타임 원더러’ 출격",넷마블
39,"넷마블, 모바일 수집형 MMORPG '세븐나이츠2' 18일 출시",넷마블
40,"넷마블, '게임콘서트'에서 게임과 뇌의 상관관계 논하다",넷마블
41,스톡옵션 행사가 760배 책정한 게임사…'얼마나 성장하길래',넷마블
42,"[단독]넷마블, 개발 자회사 개편 계속…'넷마블펀→넷마블에프앤씨'",넷마블
43,"넷마블, 'A3: 스틸얼라이브' 데네루 시스템 업데이트",넷마블
44,"[게임워치] 넷마블, 'BTS 월드' ANOTHER STORY 시즌 2 챕터4 업데이트 外",넷마블
45,"넷마블, 세븐나이츠2 11월 18일 출시",넷마블
46,규현·신동이 넷마블 웹예능에 출연합니다,넷마블
47,"넷마블, 모바일 MMORPG '세븐나이츠2' 18일 출시",넷마블
48,"넷마블 '리니지2 레볼루션', 신규 PvP '명예의 대전장' 업데이트",넷마블
49,넷마블 ‘A3: 스틸얼라이브’ 데네루 시스템 업데이트 실시,넷마블
50,넷마블 페그오 서비스 3주년 특별방송 11월 20일 진행,넷마블
51,'세븐나이츠2' 오는 18일 출시,넷마블
52,"넷마블, '세븐나이츠2' 웹예능 제작…신동·규현 출연",넷마블
53,"드디어 출격, 넷마블 첫 콘솔게임 '세나 타임 원더러' 출시",넷마블
54,"넷마블, '세븐나이츠2' 출시 앞두고 웹예능 공개",넷마블
55,"넷마블, 하반기 최고 기대작 '세븐나이츠2' 11월18일 정식 출시",넷마블
56,"넷마블, ‘A3: 스틸얼라이브’ 데네루 시스템 업데이트 실시",넷마블
57,"[이슈] 넷마블, 'A3: 스틸얼라이브' 데네루 시스템 업데이트",넷마블
58,"넷마블, ‘NeurIPS 2020’에서 딥러닝 기반 모바일 음성 인식 기술 공개 예정",넷마블
59,달라진 20년 후···넷마블 〈세븐나이츠2〉 18일 출시,넷마블
60,"엔씨·넷마블, ‘세븐나이츠·트릭스터’ IP 게임 등 연이은 신작 발표",넷마블
61,"넷마블, 딥러닝 기반 모바일 음성 인식 기술 ‘모니카’ AI 컨퍼런스서 공개",넷마블
62,"넷마블, 'NeurIPS 2020'서 딥러닝 기반 모바일 음성 인식 기술 공개",넷마블
63,넷마블 '리니지2 레볼루션' 신규 PVP '명예의 대전장' 업데이트,넷마블
64,"넷마블, '세븐나이츠' 후속작과 콘솔버전으로 11월 책임진다",넷마블
65,"넷마블, 글로벌 AI 콘퍼런스 'NeurIPS 2020'서 음성인식 기술 선보인다",넷마블
66,"넷마블, 세계 최고 권위 AI학회에서 딥러닝 기반 모바일 음성 인식 기술 발표",넷마블
67,"넷마블 '리니지2 레볼루션', 신규 PVP '명예의 대전장' 업데이트",넷마블
68,"넷마블 ‘킹 오브 파이터 올스타’, 할로윈 기념 업데이트",넷마블
69,"넷마블, 첫 콘솔 게임 ‘세븐나이츠 타임원더러’ 정식 출시",넷마블
70,‘세븐나이츠2’ 18일 출시,넷마블
71,"엘리온·미르4·세나2, 2020년 마무리할 연말 신작 쏟아진다",넷마블
72,넷마블 첫 콘솔 게임 '세븐나이츠-타임원더러' 출시...닌텐도 스위치부터,넷마블
73,넷마블 첫 콘솔게임 '세븐나이츠 타임원더러' 출시,넷마블
74,"""모니카, 전투 시작해""… 작전 지시하듯 음성으로 캐릭터 조정",넷마블
75,"넷마블, 'A3: 스틸얼라이브' 데네루 시스템 업데이트 실시",넷마블
76,"넷마블, '세븐나이츠 타임원더러' 전세계 닌텐도 스위치 이숍 출시",넷마블
77,"넷마블, 첫 콘솔 게임 ‘세븐나이츠 Time Wanderer’ 정식 출시",넷마블
78,"넷마블 '킹오파 올스타', 할로윈 기념 업데이트",넷마블
79,"넷마블, '세븐나이츠2' 11월 18일 출시..현재 사전등록 中",넷마블
80,"넷마블, 첫 콘솔 게임 '세븐나이츠 –Time Wanderer-' 닌텐도 스위치 eShop에...",넷마블
81,넷마블 '세븐나이츠2' 웹예능 개봉박두…슈퍼주니어 신동·규현 참여,넷마블
82,"넷마블, ‘BTS월드’에 챕터4와 신규 5성 카드 추가 업데이트",넷마블
83,"넷마블, '세븐나이츠: 타임원더러' 닌텐도 스위치 출시",넷마블
84,"넷마블문화재단, 31일 '게임과 과학기술' 주제 강연 영상 공개",넷마블
85,"[뉴스투데이 E] 넷마블, 딥러닝 기반 모바일 음성 인식 기술…세계 최고 권위...",넷마블
86,"넷마블 딥러닝 기반 모바일 음성 인식 기술, ‘NeurIPS 2020’서 공개",넷마블
87,"넷마블 '일곱 개의 대죄:그랜드크로스', 웹툰으로 보는 '사대천사 사리엘' 편...",넷마블
88,"넷마블, 딥러닝 기반 모바일 음성 인식 기술 'NeurIPS 2020'에서 공개",넷마블
89,"넷마블 모바일 음성 인식 기술, AI 컨퍼런스 ‘NeurIPS 2020’에서 공개",넷마블
90,"""게임과 뇌의 상관관계는""…넷마블, '게임콘서트' 개최",넷마블
91,"넷마블 첫 콘솔게임, 출시 전 닌텐도 스위치 다운 1위",넷마블
92,"넷마블 ‘세븐나이츠2’, 오는 18일 출시…사전등록 이벤트 진행",넷마블
93,"넷마블, '세븐나이츠2' 웹예능 제작…슈퍼주니어 '신동-규현' 출연",넷마블
94,"넷마블, '세븐나이츠: 타임원더러' 예판 단계에서 1위 올라",넷마블
95,"넷마블 '세븐나이츠 –Time Wanderer-', 글로벌 닌텐도 스위치 eShop에 정식...",넷마블
96,"넷마블, 딥러닝 기반 모바일 음성인식 기술 세계 최고권위 AI 컨퍼런스서 공개",넷마블
97,"넷마블 'A3: 스틸얼라이브', 데네루 시스템 업데이트 실시",넷마블
98,"넷마블 첫 콘솔 ‘세븐나이츠: 타임 원더러’, 글로벌 닌텐도 스위치 e숍에 출...",넷마블
99,"넷마블, ‘세븐나이츠 -타임 원더러-‘ 다운로드 게임 순위 1위",넷마블
100,넷마블 북미 카밤 '마블 렐름 오브 챔피언스' 12월17일 글로벌 출시,넷마블
101,"넷마블 북미 자회사 카밤, 모바일 액션 RPG '마블 렐름 오브 챔피언스' 출시일...",넷마블
102,넷마블 지분투자 빛 봤다,넷마블
103,넷마블 하반기 기대작 '세븐나이츠2' 18일 출시,넷마블
104,"넷마블, 배틀로얄 MMORPG ‘A3: 스틸얼라이브’ 금일 글로벌 정식 출시",넷마블
105,"넷마블,'클럽 엠스타’ 신규 펫 ‘붕어빵 춘식이’ 업데이트 실시",넷마블
106,겨울 게임대전 첫 타자…넷마블 ‘세븐나이츠2’,넷마블
107,"넷마블 '세븐나이츠2' 김정민 PD ""무과금 진입장벽 낮췄다... 최고의 게임으로...",넷마블
108,"첫 콘솔 게임 출시한 넷마블, 시장 확대 성공할까",넷마블
109,"넷마블 세븐나이츠2, 전작 본질 계승…“기존 시장에 없는 게임”",넷마블
110,겨울 게임대전 첫 타자…넷마블 ‘세븐나이츠2’,넷마블
111,"넷마블 카밤, 모바일 액션 RPG '마블 렐름 오브 챔피언스' 12월 17일 글로벌 ...",넷마블
112,"넷마블 북미 자회사 카밤, 마블 렐름 오브 챔피언스 12월 17일 출시",넷마블
113,"넷마블, 모바일 MMORPG '세븐나이츠2' 18일 출시",넷마블
114,"넷마블 '세븐나이츠2' 김정민 PD ""무과금 진입장벽 낮췄다... 최고의 게임으로...",넷마블
115,"넷마블, ‘A3: 스틸얼라이브’ 글로벌 정식 출시",넷마블
116,"첫 콘솔 게임 출시한 넷마블, 시장 확대 성공할까",넷마블
117,"넷마블 세븐나이츠2, 전작 본질 계승…“기존 시장에 없는 게임”",넷마블
118,"넷마블 리니지2레볼루션, PvP 명예의 대전장 업데이트",넷마블
119,"넷마블, '클럽 엠스타' 신규 펫 업데이트",넷마블
120,"넷마블, ‘A3:스틸얼라이브’ 글로벌 정식 출시",넷마블
121,"넷마블 북미 자회사 카밤, '마블 렐름 오브 챔피언스' 출시일 공개",넷마블
122,"넷마블 세븐나이츠2, 전작 본질 계승…“기존 시장에 없는 게임”",넷마블
123,"넷마블, 하반기 기대작 '세븐나이츠2' 11월 18일 출시 확정",넷마블
124,"넷마블 리니지2레볼루션, PvP 명예의 대전장 업데이트",넷마블
125,"넷마블, '클럽 엠스타' 신규 펫 업데이트",넷마블
126,"넷마블, '마블 렐름 오브 챔피언스' 12월 17일 글로벌 출시",넷마블
127,[게임리뷰]세븐나이츠의 콘솔 재해석…이 정도면 '합격점',넷마블
128,"넷마블, 온라인 댄스게임 '클럽 엠스타’ 신규 펫 ‘붕어빵 춘식이’ 업데이트",넷마블
129,"넷마블, 20일 '페그오' 3주년 특별방송",넷마블
130,"넷마블 북미 자회사 카밤, 모바일 액션 RPG '마블 렐름 오브 챔피언스' 12월 ...",넷마블
131,"넷마블, 첫 콘솔 도전 통했다…닌텐도 1위 쾌거",넷마블
132,"넷마블, 하반기 최고 기대작 '세븐나이츠2' 18일 출시",넷마블
133,"넷마블, 댄스게임 '클럽 엠스타' '붕어빵 춘식이' 업데이트",넷마블
134,"넷마블, 국제 AI 콘퍼런스서 모바일 음성인식 기술 발표",넷마블
135,"넷마블, 하반기 신작 '세븐나이츠2' 11월 18일 출시",넷마블
136,"넷마블, ‘세븐나이츠’ 후속작 출시 본격",넷마블
137,"넷마블 '클럽 엠스타', 신규 펫 '붕어빵 춘식이' 업데이트",넷마블
138,"넷마블 하반기 기대작 세븐나이츠2, 마케팅 키워드는 스토리",넷마블
139,"김동현 넷마블 AI센터장 ""음성AI, 한국어 넘어 영어 서비스로 확대""",넷마블
140,"넷마블 '클럽 엠스타', 신규 펫 '붕어빵 춘식이' 업데이트",넷마블
141,"넷마블, 하반기 최고 기대작 '세븐나이츠2' 11월 18일 출시",넷마블
142,"넷마블 하반기 기대작 세븐나이츠2, 마케팅 키워드는 스토리",넷마블
143,"김동현 넷마블 AI센터장 ""음성AI, 한국어 넘어 영어 서비스로 확대""",넷마블
144,"넷마블, 신작 '세븐나이츠' 투톱으로 주가부양‧영업익‧IP 세마리 토끼잡나",넷마블
145,"넷마블, '세븐나이츠2' 11월 18일 출시",넷마블
146,"넷마블 세븐나이츠2, 11월 18일 정식 출시",넷마블
147,6년을 기다렸다…‘세븐나이츠 2’ 출격준비 끝,넷마블
148,"넷마블, 내달 학회서 딥러닝 음성인식 기술 발표",넷마블
149,"넷마블, 세븐나이츠 첫 콘솔게임 정식 출시",넷마블
150,"넷마블 북미 자회사 ‘카밤’, 오는 17일 ‘마블 렐름 오브 챔피언스’ 글로벌...",넷마블
151,"넷마블, 'BTS 월드' ANOTHER STORY 시즌2 챕터4 업데이트 실시",넷마블
152,넷마블 '세븐나이츠2' 18일 출시,넷마블
153,"넷마블 '페이트/그랜드 오더', 서비스 3주년 기념 방송 마련",넷마블
154,"넷마블, 딥러닝 기반 모바일 음성 인식 기술 공개",넷마블
155,넷마블 모바일 신작 '세븐나이츠2'…11월18일 출시,넷마블
156,"넷마블 A3 스틸얼라이브, 데네루 시스템 업데이트",넷마블
