,title,keyword
0,제약·바이오사 취업선호도 1위 ‘셀트리온’,셀트리온
1,삼성·셀트리온 등 바이오헬스에 10조원 투자,셀트리온
2,"삼성바이오·셀트리온, 송도 바이오클러스터 개발 본격화(종합)",셀트리온
3,‘K바이오 대표’ 삼바·셀트리온 등 10조 투자 약속,셀트리온
4,"셀트리온, 2023년까지 송도에 6만L 규모 3공장 건설",셀트리온
5,文대통령 “삼바-셀트리온 통큰 투자 감사”,셀트리온
6,"'K-바이오' 삼바·셀트리온 각별히 챙긴 문대통령 ""통 큰 투자 감사""",셀트리온
7,셀트리온 “코로나19 항체치료제 임상 2상 마무리중”,셀트리온
8,"셀트리온, 송도에 3공장·R&D센터 신축…5000억 투입",셀트리온
9,"셀트리온, 송도에 3공장·연구센터 짓는다…""5천억 투입""",셀트리온
10,"[속보]文대통령 ""삼바·셀트리온, 통 큰 투자 감사...새로운 역사 쓰고 있다""",셀트리온
11,문 대통령 '셀트리온·삼성바이오로직스 온라인 기공식',셀트리온
12,"바이오·헬스가 ‘미래 먹거리’… 셀트리온 등 41개社, 10조5000억 투자한다",셀트리온
13,"이낙연, 셀트리온 코로나 백신 임상시험 대상자로 나섰다",셀트리온
14,"KB증권 ""셀트리온, 2740억 규모 3공장 증설계획 발표""",셀트리온
15,"셀트리온, 5000억 들여 3공장 건설",셀트리온
16,셀트리온 등 부채비율 100% 넘는 지주사 16개,셀트리온
17,"셀트리온, 5천억 들여 송도 3공장·연구센터 신축",셀트리온
18,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
19,`K-바이오` 집중 육성…삼바·셀트리온 등 민간투자 10조,셀트리온
20,[특징주] “2025년까지 글로벌 10위권 진입”...셀트리온 장 초반 강세,셀트리온
21,기업투자계획 발표하는 서정진 셀트리온 회장,셀트리온
22,"송도 바이오 생산기지 굳힌다…삼바·셀트리온, 총 2.5조원 투자",셀트리온
23,3분기 코스피 실적 알짜 승자는…코로나 수혜 본 '셀트리온·엔씨',셀트리온
24,송도 바이오 생산기지로 우뚝…삼바·셀트리온 4공장·3공장 착공,셀트리온
25,"서정진 셀트리온그룹 회장 ""코로나19 항체치료제, 연내 긴급사용절차 밟는다""",셀트리온
26,"""셀트리온 항체치료제 이달 중 2상 완료 목표""",셀트리온
27,"셀트리온, 송도에 제3공장·연구센터 신축…5000억 투자",셀트리온
28,투자계획 발표하는 서정진 셀트리온 회장,셀트리온
29,투자계획 발표하는 서정진 셀트리온 회장,셀트리온
30,"문대통령, 삼성바이오·셀트리온에 ""통큰 투자 감사""",셀트리온
31,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축 ... '완공 시 총 25...",셀트리온
32,"삼바·셀트리온, 2.4조원 투입 송도에 공장 짓는다",셀트리온
33,"제약바이오사, 3분기 평균 영익률 13.3%…셀트리온 선두",셀트리온
34,"문재인 “삼성바이오로직스 셀트리온의 송도 통큰 투자에 감사""",셀트리온
35,"셀트리온, 송도 3공장 및 글로벌생명공학연구센터 건립 본격화",셀트리온
36,"이낙연, 셀트리온 코로나 치료제 임상시험 대상자 된다",셀트리온
37,"삼성바이오·셀트리온, 인천 송도에 2.5조 투자…글로벌 공략하는 'K-바이오'",셀트리온
38,"K-바이오 ‘초격차 경쟁력’, 삼성바이오·셀트리온이 이끈다",셀트리온
39,바이오 양대축 삼바⋅셀트리온 제약업계 연구 인력 흡수하나,셀트리온
40,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
41,인사말하는 서정진 셀트리온 회장,셀트리온
42,"문대통령, 미래 바이오강국 '선언'…삼바·셀트리온 조단위 투자 '화답'(종합...",셀트리온
43,"'K바이오 투톱' 삼성바이로·셀트리온, 2.2조원 투입 송도에 공장 짓는다",셀트리온
44,"文, ‘바이오 클러스터’ 인천 송도 방문…셀트리온·삼바와 MOU 체결",셀트리온
45,"셀트리온, 송도에 제3공장·글로벌생명공학연구센터 신축",셀트리온
46,인사말하는 서정진 셀트리온 회장,셀트리온
47,"글로벌 바이오 허브 박차…삼성바이오‧셀트리온, 송도에 2.2조 투자해 공장 ...",셀트리온
48,"코스닥 시총 상위 10종목 초반 혼조, 셀트리온제약 2%대 올라 ",셀트리온
49,"[금일 제약업계 주요기사] 삼성바이오로직스, 송도 제4공장 착공…셀트리온, ...",셀트리온
50,"셀트리온헬스케어, 3분기 영업익 1277억원...전년비 500% 성장",셀트리온
51,"셀트리온, 2740억원 규모 신규시설 투자 결정",셀트리온
52,"[공시]셀트리온, 2740억 규모 신규 시설투자",셀트리온
53,인사말하는 서정진 셀트리온 회장,셀트리온
54,셀트리온·삼바 '글로벌 경쟁력 강화' 신호탄 쐈다,셀트리온
55,삼성·셀트리온 등 민간투자 10조 시대… 'K-바이오' 미래 밝다,셀트리온
56,"셀트리온헬스케어, 3Q 영업익 1277억…전년比 500% 증가",셀트리온
57,"이낙연 대표, 셀트리온 코로나19 치료제 임상시험 참여",셀트리온
58,"셀트리온, 5000억원 투입 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
59,"셀트리온, 제3공장 신설 ‘정정공시’",셀트리온
60,"서정진 셀트리온 회장 ""2025년까지 글로벌 바이오업계 10위권에 진입할 것""",셀트리온
61,"셀트리온헬스케어, 3분기 영업이익 전년比 500%↑… 분기 최대 실적",셀트리온
62,"삼성바이오·셀트리온 총 2.5조 투자...문 대통령 ""통큰 투자 감사""",셀트리온
63,"셀트리온헬스케어·제약, '맏형' 셀트리온 따라 3분기도 호실적",셀트리온
64,셀트리온 신설 '3공장' 규모 12만L→6만L 줄이는 까닭? ,셀트리온
65,"셀트리온헬스케어, 3분기 누적 매출 1조2000억 돌파",셀트리온
66,"[제약사이모저모] 한국먼디파마, 한국일본계제약기업협의회, 암젠, 한국 노보...",셀트리온
67,"'어닝 서프라이즈' 셀트리온, K바이오 왕좌 오르나",셀트리온
68,"셀트리온헬스케어, 3분기만에 매출 1조2000억원 돌파",셀트리온
69,셀트리온헬스케어 3분기 영업이익 1277억원…사상 최대,셀트리온
70,"셀트리온헬스케어, 3분기 누적 매출 1조2,406억…작년 한해치 넘어",셀트리온
71,셀트리온제약 3분기 영업익 58억…전년비 46%↑,셀트리온
72,"삼성바이오·셀트리온, 송도에 세계 최대 바이오의약품 기지 조성…""2.5조 투...",셀트리온
73,"""韓 '코로나19 치료제·백신' 전초기지되나?""…주목받는 '삼성바이오‧SK바이...",셀트리온
74,"셀트리온, 분기 사상 최대 실적 달성…영업이익률 44.7%",셀트리온
75,10년간 셀트리온 누빌 시장 규모는···‘무려 100조’,셀트리온
76,"셀트리온헬스케어, 3분기 영업익 1277억…전년비 500% 증가",셀트리온
77,"셀트리온헬스케어, 3분기 역대 최대 실적 달성",셀트리온
78,"獨 싸토리우스, 삼성바이오로직스·셀트리온에 의약품 원·부자재 공급",셀트리온
79,"獨 싸토리우스, 삼바·셀트리온에 원·부자재 공급 MOU체결",셀트리온
80,"셀트리온 서정진 회장 ""코로나 항체치료제 4∼5일내 바이러스 사멸""",셀트리온
81,"셀트리온제약, 3Q 영업이익 58억4000만원…전년보다 46.4%↑",셀트리온
82,"셀트리온 코로나19 치료제, 임상1상 효과 확인",셀트리온
83,대기업 일감몰아주기 여전…SK·셀트리온 내부거래 가장 많아,셀트리온
84,"셀트리온 항체치료제 연내 허가 가능…서정진 ""4~5일 내 코로나 사멸""",셀트리온
85,"셀트리온헬스케어, 3분기 매출액 4634억원…역대 최대 분기 실적 달성",셀트리온
86,"셀트리온, 3분기 역대 최대 실적 달성…시장 예상치도 뛰어넘어",셀트리온
87,"셀트리온, 코로나19 항체치료제 임상 1상 ""치료효과 확인""",셀트리온
88,"이낙연 등 민주당 의원들, 셀트리온 코로나 치료제 임상시험 참여",셀트리온
89,"셀트리온헬스케어, 3분기 영업익 1277억…전년比 500% ↑",셀트리온
90,"싸토리우스, 삼성바이오로직스·셀트리온에 원·부자재 공급",셀트리온
91,"셀트리온 ""코로나19 항체 치료제, 초기 치료효과 확인""",셀트리온
92,"싸토리우스, 삼성바이오로직스·셀트리온에 원부자재 공급 MOU",셀트리온
93,"셀트리온제약, 3분기 영업익 전년比 46% 오른 58억원",셀트리온
94,셀트리온헬스케어 3분기 영업이익 1277억…분기 사상 최대 영업이익,셀트리온
95,서정진 셀트리온 회장 “코로나 항체치료제 이르면 연말쯤 나와”,셀트리온
96,셀트리온·유한양행·녹십자 누적매출 1조원 돌파,셀트리온
97,"獨 싸토리우스, 삼성바이오로직스-셀트리온에 의약품 원자재 공급",셀트리온
98,"셀트리온, 3분기 영업익 2453억원…분기 최대 실적",셀트리온
99,"셀트리온헬스케어, 3Q 영업이익 1277억 ‘분기 사상 최대’",셀트리온
100,삼바·셀트리온 등 3년간 10조 투자…사업화 촉진·지역기반 고도화 지원,셀트리온
101,"셀트리온, 송도 제3공장·원스톱 연구센터 신설…총 5000억원 규모",셀트리온
102,"문 대통령, 삼바·셀트리온 기공식서 ""통 큰 투자 감사""",셀트리온
103,바이오의약품 생산기지 입지 공고화…삼성바이오로직스·셀트리온 2.5조원 투...,셀트리온
104,"文대통령의 특급 칭찬 '삼바·셀트리온'…""통큰 투자 감사""",셀트리온
105,"셀트리온, 송도에 3공장과 생명공학연구센터 짓는다",셀트리온
106,셀트리온 등 부채비율 100% 넘는 지주사 16개,셀트리온
107,"셀트리온, 송도에 제3공장·글로벌생명공학연구센터 신축",셀트리온
108,"셀트리온, 5천억 들여 송도에 3공장·연구센터 짓는다",셀트리온
109,`K-바이오` 집중 육성…삼바·셀트리온 등 민간투자 10조,셀트리온
110,"셀트리온, 송도에 3공장·글로벌생명공학연구센터 신축",셀트리온
111,"셀트리온, 5천억 들여 송도에 3공장·연구센터 짓는다",셀트리온
112,"셀트리온, 5천억 들여 송도 3공장·연구센터 신축",셀트리온
113,`K-바이오` 집중 육성…삼바·셀트리온 등 민간투자 10조,셀트리온
114,"文대통령 바이오의약 세계최대도시 인천 송도 방문, 삼바·셀트리온 기공식 축...",셀트리온
115,공격적 투자 나선 셀트리온·삼바…2.2兆 투자 송도 글로벌 바이오 허브 조성,셀트리온
116,"셀트리온3사 SK바이오팜 주가 올라, 삼성바이오로직스는 내려",셀트리온
117,"[특징주] 셀트리온 등에 업고 바이오톡스텍, 상한가 임박",셀트리온
118,"서정진 셀트리온 회장 ""코로나 항체치료제, 다음달 긴급사용승인 절차 시작""",셀트리온
119,"文대통령 ""삼성바이오로직스·셀트리온의 통 큰 투자에 감사""",셀트리온
120,"셀트리온, 5000억 규모 송도 3공장 및 연구센터 새로 지어",셀트리온
121,"셀트리온, 5000억 들여 송도 3공장·R&D센터 신축",셀트리온
122,"[특징주] 셀트리온 등에 업고 바이오톡스텍, 상한가 임박",셀트리온
123,"서정진 셀트리온 회장 ""코로나 항체치료제, 다음달 긴급사용승인 절차 시작""",셀트리온
124,"셀트리온·삼성바이오로직스, 송도에 글로벌 '바이오 허브' 착공-2.5조 투자",셀트리온
125,"文대통령 ""삼성바이오로직스·셀트리온의 통 큰 투자에 감사""",셀트리온
126,"셀트리온, 송도에 5천억 투자해 3공장 신축…4공장 건립도 추진",셀트리온
127,[특징주] “2025년까지 글로벌 10위권 진입”...셀트리온 장 초반 강세,셀트리온
128,기업투자계획 발표하는 서정진 셀트리온 회장,셀트리온
129,"송도 바이오 생산기지 굳힌다…삼바·셀트리온, 총 2.5조원 투자",셀트리온
130,"셀트리온·삼성바이오로직스, 송도에 글로벌 '바이오 허브' 착공-2.5조 투자",셀트리온
131,"文대통령 ""삼성바이오로직스·셀트리온의 통 큰 투자에 감사""",셀트리온
132,"셀트리온, 송도에 5천억 투자해 3공장 신축…4공장 건립도 추진",셀트리온
133,[특징주] “2025년까지 글로벌 10위권 진입”...셀트리온 장 초반 강세,셀트리온
134,"셀트리온, 송도에 3공장 -글로벌생명공학연구센터 신축",셀트리온
135,기업투자계획 발표하는 서정진 셀트리온 회장,셀트리온
136,"송도 바이오 생산기지 굳힌다…삼바·셀트리온, 총 2.5조원 투자",셀트리온
137,삼바·셀트리온 등 바이오헬스기업들 23년까지 10조 투자,셀트리온
138,3분기 코스피 실적 알짜 승자는…코로나 수혜 본 '셀트리온·엔씨',셀트리온
139,"서정진 셀트리온그룹 회장 ""코로나19 항체치료제, 연내 긴급사용절차 밟는다""",셀트리온
140,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
141,삼바·셀트리온 등 바이오헬스기업들 23년까지 10조 투자,셀트리온
142,"삼바·셀트리온, 송도에 2.2조 투입해 글로벌 ‘바이오 허브’ 만든다",셀트리온
143,3분기 코스피 실적 알짜 승자는…코로나 수혜 본 '셀트리온·엔씨',셀트리온
144,송도 바이오 생산기지로 우뚝…삼바·셀트리온 4공장·3공장 착공,셀트리온
145,"서정진 셀트리온그룹 회장 ""코로나19 항체치료제, 연내 긴급사용절차 밟는다""",셀트리온
146,"""셀트리온 항체치료제 이달 중 2상 완료 목표""",셀트리온
147,투자계획 발표하는 서정진 셀트리온 회장,셀트리온
148,"셀트리온, 3공장 및 글로벌생명공학연구센터 건립 본격화",셀트리온
149,"삼바·셀트리온 등 36개사, 3년간 10조원 투자...'K 바이오' 역량키운다",셀트리온
150,"셀트리온, 3공장 및 글로벌생명공학연구센터 건립 본격화",셀트리온
151,"셀트리온, 인천 송도에 3공장 이어 4공장 건립 추진",셀트리온
152,"삼성바이오로직스·셀트리온, 새로운 생산기지 구축 위해 송도에 대규모 투자",셀트리온
153,"셀트리온 회장 ""코로나 항체치료제, 다음달 긴급사용승인 신청""",셀트리온
154,"삼바·셀트리온 등 36개사, 3년간 10조원 투자...'K 바이오' 역량키운다",셀트리온
155,셀트리온-삼성바이오로직스 온라인 기공식 참석한 문 대통령,셀트리온
156,"셀트리온 ""한국인 임상시험 참여 부족해 치료제 개발 난항""",셀트리온
157,"문 대통령 ""삼바·셀트리온 세계적 바이오 기업 거듭날 것""",셀트리온
158,"文대통령, 삼바·셀트리온 칭찬…“올해말 치료제 선보일 것”",셀트리온
159,바이오산업 투자계획 발표하는 서정진 셀트리온 회장,셀트리온
160,셀트리온-삼성바이오로직스 온라인 기공식 참석한 문 대통령,셀트리온
161,"셀트리온 ""한국인 임상시험 참여 부족해 치료제 개발 난항""",셀트리온
162,"셀트리온, 송도에 3공장 신축…4공장 건립도 추진",셀트리온
163,"셀트리온, 5000억 투입해 3공장·연구센터 짓는다",셀트리온
164,"문 대통령 ""삼바·셀트리온 세계적 바이오 기업 거듭날 것""",셀트리온
165,"文대통령, 삼바·셀트리온 칭찬…“올해말 치료제 선보일 것”",셀트리온
166,바이오산업 투자계획 발표하는 서정진 셀트리온 회장,셀트리온
167,삼성바이오 2조 ·셀트리온 5000억 투자...송도를 바이오 클러스터로,셀트리온
168,"문대통령, 삼성바이오·셀트리온에 ""통큰 투자 감사""",셀트리온
169,"삼바·셀트리온, 2.4조원 투입 송도에 공장 짓는다",셀트리온
170,"셀트리온, 송도에 3공장 신축…4공장 건립도 추진",셀트리온
171,"셀트리온, 5000억 투입해 3공장·연구센터 짓는다",셀트리온
172,"문 대통령 ""삼바·셀트리온 세계적 바이오 기업 거듭날 것""",셀트리온
173,"文대통령, 삼바·셀트리온 칭찬…“올해말 치료제 선보일 것”",셀트리온
174,바이오산업 투자계획 발표하는 서정진 셀트리온 회장,셀트리온
175,삼성바이오 2조 ·셀트리온 5000억 투자...송도를 바이오 클러스터로,셀트리온
176,"문대통령, 삼성바이오·셀트리온에 ""통큰 투자 감사""",셀트리온
177,"삼바·셀트리온, 2.4조원 투입 송도에 공장 짓는다",셀트리온
178,"제약바이오사, 3분기 평균 영익률 13.3%…셀트리온 선두",셀트리온
179,"문재인 “삼성바이오로직스 셀트리온의 송도 통큰 투자에 감사""",셀트리온
180,"문재인 “삼성바이오로직스 셀트리온의 송도 통큰 투자에 감사""",셀트리온
181,"셀트리온, 송도 3공장 및 글로벌생명공학연구센터 건립 본격화",셀트리온
182,"이낙연, 셀트리온 코로나 치료제 임상시험 대상자 된다",셀트리온
183,"삼성바이오·셀트리온, 인천 송도에 2.5조 투자…글로벌 공략하는 'K-바이오'",셀트리온
184,바이오 양대축 삼바⋅셀트리온 제약업계 연구 인력 흡수하나,셀트리온
