,date,close,volume,stock
1,2020-11-04,270500.0,1310099.0,셀트리온
2,2020-11-03,259000.0,1016373.0,셀트리온
3,2020-11-02,244500.0,486328.0,셀트리온
4,2020-10-30,241000.0,825115.0,셀트리온
5,2020-10-29,253000.0,986149.0,셀트리온
9,2020-10-28,242500.0,426527.0,셀트리온
10,2020-10-27,239000.0,687981.0,셀트리온
11,2020-10-26,238000.0,945429.0,셀트리온
12,2020-10-23,238000.0,723304.0,셀트리온
13,2020-10-22,237500.0,831654.0,셀트리온
16,2020-10-21,244000.0,625587.0,셀트리온
17,2020-10-20,245500.0,1215368.0,셀트리온
18,2020-10-19,255500.0,517772.0,셀트리온
19,2020-10-16,256500.0,543139.0,셀트리온
20,2020-10-15,255000.0,627073.0,셀트리온
24,2020-10-14,262000.0,585306.0,셀트리온
25,2020-10-13,270500.0,541433.0,셀트리온
26,2020-10-12,273500.0,774825.0,셀트리온
27,2020-10-08,262000.0,874989.0,셀트리온
28,2020-10-07,260500.0,492558.0,셀트리온
31,2020-10-06,258000.0,556717.0,셀트리온
32,2020-10-05,254500.0,639048.0,셀트리온
33,2020-09-29,257500.0,686838.0,셀트리온
34,2020-09-28,255000.0,1037814.0,셀트리온
35,2020-09-25,258500.0,1251340.0,셀트리온
39,2020-09-24,250000.0,1321525.0,셀트리온
40,2020-09-23,266000.0,1302410.0,셀트리온
41,2020-09-22,268000.0,1337964.0,셀트리온
42,2020-09-21,278500.0,1074281.0,셀트리온
43,2020-09-18,291500.0,754705.0,셀트리온
46,2020-09-17,291500.0,685924.0,셀트리온
47,2020-09-16,297000.0,438867.0,셀트리온
48,2020-09-15,296000.0,413089.0,셀트리온
49,2020-09-14,296000.0,508097.0,셀트리온
50,2020-09-11,298500.0,1022761.0,셀트리온
54,2020-09-10,298500.0,1246969.0,셀트리온
55,2020-09-09,298500.0,2482466.0,셀트리온
56,2020-09-08,318000.0,2698135.0,셀트리온
57,2020-09-07,305000.0,1016576.0,셀트리온
58,2020-09-04,294000.0,612252.0,셀트리온
61,2020-09-03,299500.0,497412.0,셀트리온
62,2020-09-02,300500.0,547657.0,셀트리온
63,2020-09-01,298000.0,668602.0,셀트리온
64,2020-08-31,297000.0,1079872.0,셀트리온
65,2020-08-28,304500.0,557944.0,셀트리온
69,2020-08-27,304500.0,722862.0,셀트리온
70,2020-08-26,310500.0,1262116.0,셀트리온
71,2020-08-25,306500.0,600050.0,셀트리온
