,date,close,open,high,low,volume,keyword
1858,2015-11-02,4115.0,4105.0,4160.0,4105.0,33034.0,신풍제약
1857,2015-11-03,4165.0,4085.0,4170.0,4085.0,19751.0,신풍제약
1856,2015-11-04,4150.0,4160.0,4180.0,4105.0,38877.0,신풍제약
1855,2015-11-05,4345.0,4140.0,4375.0,4110.0,184537.0,신풍제약
1854,2015-11-06,4470.0,4450.0,4675.0,4410.0,387022.0,신풍제약
1850,2015-11-09,4400.0,4510.0,4550.0,4400.0,117796.0,신풍제약
1849,2015-11-10,4335.0,4400.0,4480.0,4210.0,78444.0,신풍제약
1848,2015-11-11,4540.0,4335.0,4540.0,4280.0,74211.0,신풍제약
1847,2015-11-12,4510.0,4555.0,4560.0,4435.0,56307.0,신풍제약
1846,2015-11-13,4380.0,4425.0,4530.0,4340.0,75030.0,신풍제약
1843,2015-11-16,4210.0,4300.0,4375.0,4200.0,87401.0,신풍제약
1842,2015-11-17,4285.0,4240.0,4350.0,4215.0,53435.0,신풍제약
1841,2015-11-18,4290.0,4340.0,4380.0,4120.0,70402.0,신풍제약
1840,2015-11-19,4275.0,4340.0,4340.0,4130.0,46069.0,신풍제약
1839,2015-11-20,4210.0,4280.0,4280.0,4150.0,102417.0,신풍제약
1835,2015-11-23,5470.0,4210.0,5470.0,4210.0,7330400.0,신풍제약
1834,2015-11-24,5240.0,5530.0,5690.0,5100.0,4274229.0,신풍제약
1833,2015-11-25,5250.0,5240.0,5420.0,5120.0,2033789.0,신풍제약
1832,2015-11-26,5030.0,5320.0,5500.0,5030.0,2142639.0,신풍제약
1831,2015-11-27,4985.0,5020.0,5130.0,4930.0,652473.0,신풍제약
1828,2015-11-30,4790.0,4930.0,4955.0,4790.0,528911.0,신풍제약
1827,2015-12-01,4855.0,4835.0,4900.0,4720.0,501998.0,신풍제약
1826,2015-12-02,4780.0,4905.0,4905.0,4740.0,352264.0,신풍제약
1825,2015-12-03,4780.0,4745.0,4845.0,4730.0,251308.0,신풍제약
1824,2015-12-04,4820.0,4750.0,4830.0,4730.0,211845.0,신풍제약
1820,2015-12-07,4720.0,4875.0,4880.0,4715.0,314956.0,신풍제약
1819,2015-12-08,4570.0,4710.0,4735.0,4555.0,336929.0,신풍제약
1818,2015-12-09,4470.0,4565.0,4630.0,4460.0,240440.0,신풍제약
1817,2015-12-10,4430.0,4475.0,4500.0,4295.0,352117.0,신풍제약
1816,2015-12-11,4375.0,4410.0,4450.0,4315.0,174095.0,신풍제약
1813,2015-12-14,4130.0,4315.0,4320.0,4095.0,348913.0,신풍제약
1812,2015-12-15,4175.0,4100.0,4180.0,4100.0,208420.0,신풍제약
1811,2015-12-16,4190.0,4190.0,4300.0,4190.0,181755.0,신풍제약
1810,2015-12-17,4265.0,4370.0,4370.0,4230.0,129161.0,신풍제약
1809,2015-12-18,4320.0,4270.0,4330.0,4240.0,104911.0,신풍제약
1805,2015-12-21,4300.0,4280.0,4370.0,4260.0,121695.0,신풍제약
