,2015/12,2016/12,2017/12,2018/12,2019/12,2020/12(E),2021/12(E),2022/12(E),keyword
매출액,1960.0,1941.0,1850.0,1874.0,1897.0,0.0,0.0,0.0,신풍제약
영업이익,42.0,70.0,78.0,78.0,56.0,0.0,0.0,0.0,신풍제약
영업이익(발표기준),42.0,70.0,78.0,78.0,56.0,0.0,0.0,0.0,신풍제약
당기순이익,15.0,-211.0,9.0,28.0,54.0,0.0,0.0,0.0,신풍제약
지배주주순이익,15.0,-211.0,9.0,28.0,53.0,0.0,0.0,0.0,신풍제약
비지배주주순이익,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,신풍제약
자산총계,4107.0,4127.0,3856.0,3810.0,3801.0,0.0,0.0,0.0,신풍제약
부채총계,2159.0,1996.0,1755.0,1735.0,1710.0,0.0,0.0,0.0,신풍제약
자본총계,1949.0,2130.0,2101.0,2075.0,2091.0,0.0,0.0,0.0,신풍제약
지배주주지분,1946.0,2127.0,2098.0,2065.0,2082.0,0.0,0.0,0.0,신풍제약
비지배주주지분,3.0,3.0,3.0,10.0,9.0,0.0,0.0,0.0,신풍제약
자본금,237.0,276.0,276.0,276.0,276.0,0.0,0.0,0.0,신풍제약
부채비율,110.78,93.71,83.53,83.61,81.76,0.0,0.0,0.0,신풍제약
유보율,769.9,713.37,702.76,690.64,696.85,0.0,0.0,0.0,신풍제약
영업이익률,2.16,3.62,4.22,4.14,2.95,0.0,0.0,0.0,신풍제약
지배주주순이익률,0.75,-10.88,0.49,1.5,2.81,0.0,0.0,0.0,신풍제약
ROA,0.36,-5.13,0.23,0.73,1.42,0.0,0.0,0.0,신풍제약
ROE,0.77,-10.37,0.43,1.35,2.57,0.0,0.0,0.0,신풍제약
EPS,31.0,-401.0,16.0,51.0,96.0,0.0,0.0,0.0,신풍제약
BPS,4349.0,4067.0,4014.0,3953.0,3984.0,0.0,0.0,0.0,신풍제약
DPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,신풍제약
PER,140.05,0.0,468.98,126.16,75.05,0.0,0.0,0.0,신풍제약
PBR,1.0,1.46,1.92,1.62,1.82,0.0,0.0,0.0,신풍제약
발행주식수,45218.0,52985.0,52985.0,52985.0,52985.0,0.0,0.0,0.0,신풍제약
배당수익률,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,신풍제약
