,title,keyword
0,"[인터뷰] 엔씨소프트의 새로운 도전, 7가지 키워드로 보는 트릭스터M",엔씨소프트
1,[브랜드평판] 게임 상장기업 브랜드 2020년 11월 빅데이터 분석결과... 1위 엔...,엔씨소프트
2,"엔씨소프트, ‘트릭스터M’으로 3연타석 홈런 ‘도전’",엔씨소프트
3,"엔씨소프트 트릭스터M, 예약자 200만 돌파",엔씨소프트
4,[화제의 보고서] 게임-엔씨소프트 | 리니지 주춤? 신작 ‘블소2(블레이드앤소...,엔씨소프트
5,"엔씨소프트, K팝 팬덤 플랫폼 '유니버스' 내년 초 출시",엔씨소프트
6,"게임주 하락 많아, 드래곤플라이 6%대 엔씨소프트 5%대 떨어져",엔씨소프트
7,"엔씨소프트, 신작 2종에 새 플랫폼까지..2021년 맞이 '용트림'",엔씨소프트
8,[게임스톡] 엔씨 5.6% 하락…80만원 무너져,엔씨소프트
9,"엔씨소프트, 'K팝' 정조준…엔터 사업 본격화",엔씨소프트
10,'데이터 경영' 김택진이 이끄는 엔씨소프트의 힘,엔씨소프트
11,"엔씨소프트 ""게임 디자인 실력자 찾아요""…테마 채용 시작",엔씨소프트
12,"엔씨소프트, AI로 게임 외 'NC다이노스' 우승에 한몫",엔씨소프트
13,"엔씨소프트, NC 다이노스 한국시리즈 진출 기념 이벤트 진행",엔씨소프트
14,[금주의쟁점] 엔씨 첫 콘솔게임 '퓨저' 10일 발매,엔씨소프트
15,"게임 빅3, 3Q 실적 발표 앞두고 희비 엇갈려… 넥슨·엔씨 '맑음' 넷마블 '흐...",엔씨소프트
16,케이팝에 빠진 엔씨… 엔터 사업 '본격화',엔씨소프트
17,언택트 시대 저무나? 네이버·엔씨소프트 동반약세,엔씨소프트
18,"엔씨소프트, ‘아이온’ 클래식 서버 캐릭터 사전생성 ‘돌입’",엔씨소프트
19,"엔씨소프트, '엔씨'로 상호 변경하나",엔씨소프트
20,[특징주] 화이자 백신 기대에 언택트株 네이버·카카오·엔씨 하락,엔씨소프트
21,"엔씨소프트, ‘아이온’ 서비스 12주년 이벤트 실시",엔씨소프트
22,"“오른손 한 일, 왼손 모르게”…엔씨, 지스타 참가 인디게임사 4년간 후원",엔씨소프트
23,"윤송이, 콘솔게임 도전으로 엔씨소프트 북미법인 실적반등 성공할까",엔씨소프트
24,"엔씨소프트 트릭스터M, 예약자 수 100만 돌파",엔씨소프트
25,엔터 공략 나선 엔씨소프트…'택진이 형' 동생 김택헌 시험대에,엔씨소프트
26,[人사이트] 엔씨소프트·KB증권 동시 러브콜 받은 정인영 디셈버앤컴퍼니자산...,엔씨소프트
27,K팝 팬덤 플랫폼 ‘유니버스’ 엔씨소프트서 내년 초 출시,엔씨소프트
