,date,close,open,high,low,volume,keyword
1858,2015-11-03,188000.0,184500.0,188500.0,183500.0,152198.0,엔씨소프트
1857,2015-11-04,210000.0,184500.0,210000.0,181500.0,892999.0,엔씨소프트
1856,2015-11-05,212000.0,210500.0,217000.0,208000.0,372646.0,엔씨소프트
1855,2015-11-06,212500.0,209500.0,214000.0,209500.0,108736.0,엔씨소프트
1854,2015-11-09,211000.0,213000.0,213000.0,207000.0,122570.0,엔씨소프트
1850,2015-11-10,208000.0,207500.0,211000.0,203500.0,174729.0,엔씨소프트
1849,2015-11-11,209000.0,206000.0,212500.0,205500.0,107718.0,엔씨소프트
1848,2015-11-12,213500.0,207500.0,217000.0,207500.0,137102.0,엔씨소프트
1847,2015-11-13,214000.0,212500.0,215000.0,210500.0,109574.0,엔씨소프트
1846,2015-11-16,211000.0,210000.0,214000.0,208000.0,117282.0,엔씨소프트
1843,2015-11-17,209000.0,214000.0,214500.0,207500.0,117463.0,엔씨소프트
1842,2015-11-18,214000.0,209000.0,215000.0,207000.0,90044.0,엔씨소프트
1841,2015-11-19,211500.0,213500.0,213500.0,206000.0,219866.0,엔씨소프트
1840,2015-11-20,218000.0,213000.0,218500.0,210000.0,178280.0,엔씨소프트
1839,2015-11-23,218500.0,220500.0,222500.0,217000.0,154958.0,엔씨소프트
1835,2015-11-24,215000.0,218000.0,219000.0,213500.0,122439.0,엔씨소프트
1834,2015-11-25,218500.0,215000.0,220000.0,212500.0,100127.0,엔씨소프트
1833,2015-11-26,216000.0,219000.0,219500.0,215000.0,83574.0,엔씨소프트
1832,2015-11-27,224000.0,218500.0,226000.0,217000.0,228179.0,엔씨소프트
1831,2015-11-30,222500.0,224500.0,226000.0,219000.0,277323.0,엔씨소프트
1828,2015-12-01,220500.0,223500.0,224000.0,220000.0,124946.0,엔씨소프트
1827,2015-12-02,215500.0,220500.0,222000.0,215500.0,113772.0,엔씨소프트
1826,2015-12-03,220000.0,213500.0,221500.0,213500.0,94145.0,엔씨소프트
1825,2015-12-04,217000.0,218500.0,222000.0,216500.0,69063.0,엔씨소프트
1824,2015-12-07,220000.0,218500.0,223000.0,214500.0,84399.0,엔씨소프트
1820,2015-12-08,222000.0,219000.0,222500.0,215000.0,89607.0,엔씨소프트
1819,2015-12-09,208500.0,229000.0,230000.0,206500.0,435189.0,엔씨소프트
1818,2015-12-10,225500.0,212500.0,227000.0,211000.0,354211.0,엔씨소프트
1817,2015-12-11,221000.0,225500.0,228000.0,220000.0,101208.0,엔씨소프트
1816,2015-12-14,220500.0,218500.0,221500.0,215000.0,104799.0,엔씨소프트
1813,2015-12-15,211500.0,221000.0,221500.0,211000.0,141828.0,엔씨소프트
1812,2015-12-16,217500.0,216000.0,220500.0,213000.0,121187.0,엔씨소프트
1811,2015-12-17,220500.0,220000.0,221000.0,215500.0,95548.0,엔씨소프트
1810,2015-12-18,215500.0,217000.0,219500.0,214500.0,98058.0,엔씨소프트
1809,2015-12-21,218000.0,218000.0,220500.0,216500.0,105231.0,엔씨소프트
1805,2015-12-22,216500.0,219000.0,219500.0,215500.0,70644.0,엔씨소프트
1804,2015-12-23,219500.0,218000.0,220000.0,214000.0,119034.0,엔씨소프트
1803,2015-12-24,214000.0,220000.0,220500.0,212500.0,103602.0,엔씨소프트
1802,2015-12-28,208500.0,215000.0,215500.0,208000.0,98670.0,엔씨소프트
1801,2015-12-29,210500.0,208000.0,212500.0,207000.0,63597.0,엔씨소프트
1798,2015-12-30,213000.0,211000.0,214500.0,211000.0,51355.0,엔씨소프트
1797,2016-01-04,204000.0,213000.0,213500.0,203500.0,115726.0,엔씨소프트
1796,2016-01-05,214000.0,202500.0,218000.0,202500.0,200196.0,엔씨소프트
1795,2016-01-06,213000.0,215500.0,219000.0,212500.0,152521.0,엔씨소프트
1794,2016-01-07,219500.0,215500.0,225000.0,215500.0,215966.0,엔씨소프트
1790,2016-01-08,218500.0,217000.0,221000.0,216000.0,107497.0,엔씨소프트
1789,2016-01-11,220000.0,217000.0,224000.0,216500.0,140836.0,엔씨소프트
1788,2016-01-12,219000.0,222000.0,222000.0,218000.0,95630.0,엔씨소프트
1787,2016-01-13,220500.0,221000.0,221500.0,219000.0,71899.0,엔씨소프트
1786,2016-01-14,214500.0,216000.0,218000.0,211500.0,123468.0,엔씨소프트
1783,2016-01-15,220000.0,216500.0,223500.0,216500.0,175863.0,엔씨소프트
1782,2016-01-18,229500.0,219000.0,231500.0,218000.0,224078.0,엔씨소프트
1781,2016-01-19,230000.0,230000.0,231500.0,226500.0,125942.0,엔씨소프트
1780,2016-01-20,229000.0,227500.0,233500.0,223000.0,144187.0,엔씨소프트
1779,2016-01-21,223000.0,229000.0,230000.0,222000.0,115464.0,엔씨소프트
1775,2016-01-22,227500.0,225000.0,231500.0,225000.0,136550.0,엔씨소프트
1774,2016-01-25,229500.0,226500.0,231000.0,225500.0,99980.0,엔씨소프트
1773,2016-01-26,239000.0,230000.0,239000.0,228500.0,194873.0,엔씨소프트
1772,2016-01-27,240500.0,240500.0,241500.0,236500.0,163631.0,엔씨소프트
1771,2016-01-28,237000.0,239500.0,241000.0,234500.0,141483.0,엔씨소프트
1768,2016-01-29,234500.0,236000.0,236500.0,230500.0,146061.0,엔씨소프트
1767,2016-02-01,234000.0,234000.0,239000.0,231000.0,110765.0,엔씨소프트
1766,2016-02-02,235000.0,235000.0,239500.0,231500.0,114209.0,엔씨소프트
1765,2016-02-03,232000.0,234000.0,235000.0,229500.0,96881.0,엔씨소프트
1764,2016-02-04,239500.0,233500.0,240500.0,231000.0,199487.0,엔씨소프트
1760,2016-02-05,240000.0,239000.0,240500.0,233500.0,133513.0,엔씨소프트
1759,2016-02-11,240000.0,235000.0,242500.0,232500.0,213777.0,엔씨소프트
1758,2016-02-12,237000.0,240000.0,242000.0,226000.0,224239.0,엔씨소프트
1757,2016-02-15,233000.0,235500.0,238500.0,231000.0,148855.0,엔씨소프트
1756,2016-02-16,242500.0,235000.0,243000.0,232500.0,182004.0,엔씨소프트
1753,2016-02-17,238000.0,239500.0,243000.0,235500.0,125879.0,엔씨소프트
1752,2016-02-18,236000.0,239500.0,239500.0,234000.0,150396.0,엔씨소프트
1751,2016-02-19,240000.0,237500.0,241500.0,237000.0,122043.0,엔씨소프트
1750,2016-02-22,240000.0,240000.0,242500.0,236000.0,83856.0,엔씨소프트
1749,2016-02-23,234500.0,238500.0,240000.0,233500.0,121311.0,엔씨소프트
1745,2016-02-24,233000.0,235000.0,238000.0,231000.0,125147.0,엔씨소프트
1744,2016-02-25,228000.0,233500.0,236000.0,227500.0,147745.0,엔씨소프트
1743,2016-02-26,237000.0,231000.0,237500.0,229500.0,102524.0,엔씨소프트
1742,2016-02-29,240000.0,238000.0,242000.0,234000.0,109487.0,엔씨소프트
1741,2016-03-02,237000.0,242500.0,242500.0,235000.0,112515.0,엔씨소프트
1738,2016-03-03,242500.0,239500.0,243500.0,237000.0,130082.0,엔씨소프트
1737,2016-03-04,247000.0,247000.0,251000.0,244500.0,202270.0,엔씨소프트
1736,2016-03-07,233500.0,249500.0,251000.0,231500.0,291374.0,엔씨소프트
1735,2016-03-08,233000.0,233500.0,239000.0,231500.0,141003.0,엔씨소프트
1734,2016-03-09,239500.0,237500.0,243000.0,236500.0,179593.0,엔씨소프트
1730,2016-03-10,263500.0,254000.0,264500.0,251500.0,640145.0,엔씨소프트
1729,2016-03-11,263000.0,275000.0,277000.0,260000.0,501855.0,엔씨소프트
1728,2016-03-14,253000.0,260000.0,260000.0,248500.0,586634.0,엔씨소프트
1727,2016-03-15,253000.0,253000.0,256000.0,250500.0,240959.0,엔씨소프트
1726,2016-03-16,249500.0,250500.0,251500.0,244000.0,280282.0,엔씨소프트
1723,2016-03-17,248000.0,249500.0,252500.0,247500.0,169810.0,엔씨소프트
1722,2016-03-18,255000.0,250000.0,256000.0,248500.0,232841.0,엔씨소프트
1721,2016-03-21,251500.0,256000.0,256000.0,250000.0,143053.0,엔씨소프트
1720,2016-03-22,250000.0,252000.0,252500.0,246000.0,163675.0,엔씨소프트
1719,2016-03-23,252500.0,248500.0,255500.0,248500.0,125571.0,엔씨소프트
1715,2016-03-24,242000.0,248000.0,249500.0,240500.0,173685.0,엔씨소프트
1714,2016-03-25,244500.0,241000.0,245500.0,237500.0,136660.0,엔씨소프트
1713,2016-03-28,242500.0,243000.0,246000.0,242500.0,50344.0,엔씨소프트
1712,2016-03-29,240500.0,241000.0,243000.0,239000.0,88711.0,엔씨소프트
1711,2016-03-30,251000.0,243000.0,251000.0,242000.0,128656.0,엔씨소프트
1708,2016-03-31,253500.0,252000.0,254000.0,248500.0,138325.0,엔씨소프트
1707,2016-04-01,256000.0,253500.0,256000.0,251000.0,155898.0,엔씨소프트
1706,2016-04-04,256000.0,255000.0,258500.0,252000.0,120602.0,엔씨소프트
1705,2016-04-05,249500.0,254000.0,255000.0,246500.0,93601.0,엔씨소프트
1704,2016-04-06,248500.0,250500.0,251000.0,244000.0,113758.0,엔씨소프트
1700,2016-04-07,253000.0,249500.0,254500.0,247000.0,100807.0,엔씨소프트
1699,2016-04-08,249500.0,251000.0,253000.0,247000.0,57930.0,엔씨소프트
1698,2016-04-11,244000.0,249500.0,250500.0,243500.0,92302.0,엔씨소프트
1697,2016-04-12,246000.0,245000.0,246500.0,241500.0,74812.0,엔씨소프트
1696,2016-04-14,243000.0,249000.0,249000.0,243000.0,128458.0,엔씨소프트
1693,2016-04-15,243500.0,244000.0,246500.0,242000.0,68040.0,엔씨소프트
1692,2016-04-18,237000.0,241000.0,243000.0,236000.0,112224.0,엔씨소프트
1691,2016-04-19,236500.0,239000.0,243000.0,236000.0,94078.0,엔씨소프트
