,title,keyword
0,"현대건설, DJSI 평가서 건설·엔지니어링 부문 세계 1위",현대건설
1,"현대중공업그룹 경영진 전원 유임… 정기선, 사장 승진은 없어",현대건설
2,"현대건설, DJSI 건설·엔지니어링 부문 '세계 1위' 기염",현대건설
3,"현대건설, DJSI 건설·엔지니어링 분야 세계 1위",현대건설
4,"현대건설, DJSI 건설 · 엔지니어링 부문 세계 1위",현대건설
5,"현대중공업그룹, 코로나19 극복… 사장 등 경영진 전원 유임",현대건설
6,"현대건설, ‘힐스테이트 포항’ 이달 분양",현대건설
7,"현대건설, '재해 예측 AI' 도입… 건설현장 선제적 안전관리",현대건설
8,탈석탄 선언한 삼성물산…현대건설은?,현대건설
9,"현대건설 ""힐스테이트 포항 분양 예정""",현대건설
10,"IBK기업은행, 김희진 결장에도 3연승…현대건설 5연패",현대건설
11,20년 넘게 묻혀있던 '현대건설 타임캡슐' 내년 개봉 가능성,현대건설
12,속도 내는 압구정현대 재건축…현대건설은 '끙끙',현대건설
13,"현대건설, 전체 현장에 ‘재해 예측 AI’ 가동",현대건설
14,"[수원리뷰]'라자레바 37점' 기업은행 3연승 질주, 현대건설 5연패 늪",현대건설
15,[인사] 현대중공업 외,현대건설
16,[인사] 현대중공업그룹,현대건설
17,"현대건설, 모든 건설현장에 '재해 예측 AI' 도입",현대건설
18,[인사] 현대중공업그룹,현대건설
19,"현대건설, ‘힐스테이트 포항’ 이달 분양",현대건설
20,"현대건설, 모든 건설현장에 ‘재해 예측 AI’ 도입",현대건설
21,"현대중공업그룹, 임원인사 단행…현 경영진 유임·부사장 4명 승진",현대건설
22,"현대건설, 전 건설 현장에 ‘재해 예측 AI’ 도입해 선제적 안전관리",현대건설
23,"현대중공업그룹, 현 경영진 모두 유임...임원인사 단행",현대건설
24,"현대건설, 건설현장에 ‘재해 예측 AI’ 도입…선제적 안전관리",현대건설
25,"""10년 시공경험을 안전 빅데이터로""…현대건설, `재해예측 AI` 전 현장 적용",현대건설
26,"현대건설, '힐스테이트 포항' 11월 분양 예정",현대건설
27,"[인사] 현대중공업그룹, 현 경영진 전원 유임…코로나19 극복 초점",현대건설
28,"현대건설, '힐스테이트 포항' 11월 분양 예정",현대건설
29,[인사]현대중공업그룹,현대건설
30,"현대건설, 직주근접 대단지 ‘힐스테이트 포항’ 이달 분양",현대건설
31,"5연패 현대건설, ‘슈퍼 쌍둥이’ 이다영 공백 크게 느껴진다",현대건설
32,현대건설 양효진 '이긴다!',현대건설
33,현대건설 황민경 '받았다!',현대건설
34,"현대건설, 카타르 루사일 플라자타워 건설공사 1조2천억 규모 수주",현대건설
35,"현대건설, '힐스테이트 포항' 11월 분양 예정",현대건설
36,"현대건설, DJSI 건설 · 엔지니어링 부문 세계 1위",현대건설
37,환호하는 현대건설 선수들,현대건설
38,현대건설 정지윤 '막아라!',현대건설
39,현대건설 정지윤 '이긴다!',현대건설
40,"현대건설, 코로나19에도 뒷심 발휘…해외수주도 선두 차지",현대건설
41,"IBK기업은행, 김희진 결장에도 3연승…현대건설 5연패",현대건설
42,[인사] 현대중공업그룹,현대건설
43,"여자프로배구 현대건설, 크리스마스 유니폼 공개",현대건설
44,"현대건설, 전 현장 '재해 예측 AI' 도입...안전관리 강화",현대건설
45,"현대건설, 모든 건설현장에 '재해 예측 AI' 도입…선제적 안전관리",현대건설
46,"현대건설, 건설회사 브랜드평판 11월...1위",현대건설
47,"한국외대-현대건설-한국투자증권, 송도 데이터 사이언스 혁신 캠퍼스 구축 맞...",현대건설
48,[인사]현대중공업그룹,현대건설
49,"현대건설, '힐스테이트 포항' 11월 중 분양",현대건설
50,"현대건설, 크리스마스 시즌 맞이 유니폼 공개",현대건설
51,"현대건설, 건산법 하도급 규정 위반...과태료 처분",현대건설
52,"현대건설, 인공지능 기반 '재해 예측 시스템' 국내 건설현장 적용",현대건설
53,"현대건설, 포스코·현대제철 가까운 힐스테이트 포항 분양 예정 ",현대건설
54,"현대건설, 1700세대 대단지 '힐스테이트 포항' 이달 분양 예정",현대건설
55,기뻐하는 현대건설 선수들,현대건설
56,"현대건설, '재해 예측 AI' 도입… 건설현장 선제적 안전관리",현대건설
57,[MD포토] 고개숙인 루소 '현대건설 5연패',현대건설
58,"현대건설, 건설현장에 '재해 예측 AI' 도입…""선제적 안전관리""",현대건설
59,정부 주택 공급책에도 건설株 ‘뚝’,현대건설
60,"현대건설, 건설현장에 '재해 예측 AI' 도입",현대건설
61,현대건설 특별주문제작 가능한 크리스마스 에디션 유니폼 출시,현대건설
62,"여자프로배구 현대건설, 크리스마스 에디션 홈/원정 유니폼 공개",현대건설
63,[인사] 현대중공업그룹,현대건설
64,현대건설 박동욱號의 혜안…미래 불확실성 제거 포석,현대건설
65,[인사] 현대중공업그룹,현대건설
66,"현대건설, 전 공사장에 재해 예측 AI 도입",현대건설
67,<인사> 현대중공업그룹,현대건설
68,"[건설오늘] 현대건설, 全현장에 재해예측 AI 도입…쌍용건설, 안성 쌍용 더 플...",현대건설
69,[MD포토] 현대건설 이도희 감독 '연패를 끊어야 하는데',현대건설
70,한눈에 펼쳐진 현대건설 ‘미래기술’ 노하우,현대건설
71,"OK금융그룹, 현대캐피탈 5연패 몰아넣고 선두 탈환…펠리페 19점",현대건설
72,"현대건설, 재해 예측 AI로 안전관리 실시",현대건설
73,"현대건설, ‘힐스테이트 포항’ 11월 분양 예정",현대건설
74,현대중공업그룹 임원인사...현 경영진 모두 유임,현대건설
75,"여자배구 현대건설 부진, 백업 레프트의 중요성 [SQ초점]",현대건설
76,"현대건설, 전 건설현장에 ‘재해 예측 AI’ 도입…선제적 안전관리",현대건설
77,[인사] 매일경제TV / 현대중공업그룹 / 부산일보사 등,현대건설
78,"GS칼텍스, 현대건설 4연패 늪에 몰아넣고 만원 관중 앞 홈 첫승",현대건설
79,"현대건설, 구단 최초 '크리스마스 에디션' 유니폼 출시",현대건설
80,현대건설 루소의 공격,현대건설
81,"현대건설, ‘힐스테이트 포항’ 11월 분양 예정…""전매제한 없고 중도금 무이...",현대건설
82,"여자프로배구 현대건설, 크리스마스 유니폼 공개",현대건설
83,"""5150가구 리모델링 잡아라""... 대형 건설사 5곳 '남산타운' 눈독",현대건설
84,환호하는 현대건설 선수들,현대건설
85,"현대건설, 모든 건설현장에 '재해예측 AI' 도입",현대건설
86,"현대중공업그룹, 임원인사 단행....코로나 위기상황 극복위해 현 경영진 유임",현대건설
